product_name,product_brand,expire_date,product_code
Beef Gyro Slices 540 g,Al-Safa Halal,,24967 60009
Chicken Breast Nuggets 680 g,Al-Safa Halal,,24967 42100
Beef Meatballs,Al-Safa Halal,,24967 90592
Beef Frankfurters 12 Oz,Al-Safa Halal,,24967 40410
Chicken Breast Burger - Small Pack 340G,Al-Safa Halal,,24967 00804
Beef Gyro Slices 19.2 Oz,Al-Safa Halal,,24967 60007
Smoked Turkey Breast,Al-Safa Halal,,24967 01208
Chicken Breast Strips 680 g,Al-Safa Halal,,24967 42101
Angus Beef Burgers,Al Safa Halal,,24967 00800
Beef Patties,Al-Safa Halal,,24967 45700
Chicken Breast Nugget - Small Pack 340G,Al-Safa Halal,,24967 00802
Chicken Wieners 375 g,Al-Safa Halal,,24967 01200
Chicken Breast Nugget - Small Pack 340G,Al-Safa Halal,,24967 00803
Angus Beef Patties,Al-Safa Halal,,24967 00801
Chicken Hot dogs 12.6 Oz,Al-Safa Halal,,24967 43660
Bulk Pack - Breaded Burgers 1.4Kg,Al-Safa Halal,,24967 01603
Chicken Patties 24 Oz,Al-Safa Halal,,24967 42500
Bulk Pack - Nuggets 1.4Kg,Al-Safa Halal,,24967 01601
Chicken Burgers 680 g,Al-Safa Halal,,24967 42400
Chicken Frankfurters 12 Oz,Al-Safa Halal,,24967 50810
Popcorn Chicken 340 g,Al-Safa Halal,,24967 60006
Chicken Breast Strip - Small Pack 340G,Al-Safa Halal,,24967 00806
Bulk Pack - Breaded Burgers 1.4Kg,Al-Safa Halal,,24967 01602
Chicken Breast Strip - Small Pack 340G,Al-Safa Halal,,24967 00807
Bulk Pack - Nuggets 1.4Kg,Al-Safa Halal,,24967 01600
Breaded Chicken Patties 24 Oz (1.5 lbs),Al-Safa Halal,,24967 42202
Chicken Pattie Strips 24 Oz (1.5 lbs),Al-Safa Halal,,24967 42201
Chicken Nuggets 24 Oz,Al-Safa Halal,,24967 42200
Popcorn Chicken 12 Oz (0.75 lbs),Al-Safa Halala,,24967 60003
Chicken Breast Strips,Ahlan Foods ,,28451 38914
Chicken Breast Nuggets,Ahlan Foods ,,28451 38910
 BIG VALUE O-CHOC- CREAM SANDWICH VANILLA FLAVOUR,FOODIE4U SDN BHD,"		30.06.2019",
 COOKIES - PISTACHIO BISCOTTI,PROFOUND PASTRY SDN. BHD.,"		15.06.2021",
 MINCE INDIAN BUFFALO,PRIMA FINE FOODS SDN BHD,"		31.12.2019",
 MYOTEIN PLUS - WHEY PROTEIN ISOLATE/HYDROLYSATE,BIOSCENERGY INTERNATIONAL SDN BHD,"
		31.12.2020",
 PEANUT MUFFIN ,HAZEL CAKE HOUSE,"
		31.05.2019",
(EOP) ANGUS PREMIUM RIBEYE MBS3,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) ANGUS RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) ANGUS STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) GRAIN FED RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) GRAIN FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) GRASS FED RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) SP GRASS FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) SUPER PREMIUM GRAIN FED RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) SUPER PREMIUM GRAIN FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) WAGYU RIBEYE MBS 4-5,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) WAGYU RIBEYE MBS 6-7,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) WAGYU RIBEYE MBS 8-9,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) WAGYU STRIPLOIN MBS 4-5,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) WAGYU STRIPLOIN MBS 6-7,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(EOP) WAGYU STRIPLOIN MBS 8-9,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(WET AGED) GRAIN FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(WET AGING) ANGUS RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(WET AGING) ANGUS STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(WET AGING) ANGUS T-BONE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(WET AGING) GRAIN FED RIBEYE,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
(WET AGING) GRAIN FED STRIPLOIN,PALACE BUTCHER RESOURCES SDN. BHD.,"
		15.10.2020",
100% PURE SESAME OIL / 100% MINYAK BIJAN TULEN,SRI NONA FOOD INDUSTRIES SDN. BHD.,"
		31.05.2020",
